name,area,postcode,suburb
Yellingbo Nature Conservation Area - Lr,41.859,3139,Seville
Yellingbo Nature Conservation Area - Lr,41.859,3139,Seville East
Woori Yallock Creek Streamside Reserve,1.631,3139,Beenak
Woori Yallock Creek Streamside Reserve,1.631,3139,Don Valley
Woori Yallock Creek Streamside Reserve,1.631,3139,Hoddles Creek
Woori Yallock Creek Streamside Reserve,1.631,3139,Launching Place
Woori Yallock Creek Streamside Reserve,1.631,3139,Seville
Woori Yallock Creek Streamside Reserve,1.631,3139,Seville East
Wandin Yallock G65 Bushland Reserve,2.953,3139,Beenak
Wandin Yallock G65 Bushland Reserve,2.953,3139,Don Valley
Wandin Yallock G65 Bushland Reserve,2.953,3139,Hoddles Creek
Wandin Yallock G65 Bushland Reserve,2.953,3139,Launching Place
Wandin Yallock G65 Bushland Reserve,2.953,3139,Seville
Wandin Yallock G65 Bushland Reserve,2.953,3139,Seville East
Yellingbo Nature Conservation Area,607.163,3139,Beenak
Yellingbo Nature Conservation Area,607.163,3139,Don Valley
Yellingbo Nature Conservation Area,607.163,3139,Hoddles Creek
Yellingbo Nature Conservation Area,607.163,3139,Launching Place
Yellingbo Nature Conservation Area,607.163,3139,Seville
Yellingbo Nature Conservation Area,607.163,3139,Seville East
Lilydale-Warburton Rail Trail,147.279,3139,Beenak
Lilydale-Warburton Rail Trail,147.279,3139,Don Valley
Lilydale-Warburton Rail Trail,147.279,3139,Hoddles Creek
Lilydale-Warburton Rail Trail,147.279,3139,Launching Place
Lilydale-Warburton Rail Trail,147.279,3139,Seville
Lilydale-Warburton Rail Trail,147.279,3139,Seville East
Mullum Mullum Park,37.128,3134,Ringwood
Mullum Mullum Park,37.128,3134,Ringwood North
"Pipemakers, Burndap And Footscay Park Parklands (Com)",44.096,3032,Ascot Vale
"Pipemakers, Burndap And Footscay Park Parklands (Com)",44.096,3032,Maribyrnong
"Pipemakers, Burndap And Footscay Park Parklands (Com)",44.096,3032,Travancore
Lower Maribyrnong Parklands,124.384,3032,Ascot Vale
Lower Maribyrnong Parklands,124.384,3032,Maribyrnong
Lower Maribyrnong Parklands,124.384,3032,Travancore
Lower Maribyrnong Parklands,124.384,3032,Ascot Vale
Lower Maribyrnong Parklands,124.384,3032,Maribyrnong
Lower Maribyrnong Parklands,124.384,3032,Travancore
Merri Creek Park,59.292,3061,Campbellfield
Bababi Marning (Cooper St Grassland Nature Conservation Reserve),52.071,3061,Campbellfield
Parks Victoria Depot - Barkly Ave Park,1.082,3121,Burnley
Parks Victoria Depot - Barkly Ave Park,1.082,3121,Cremorne
Parks Victoria Depot - Barkly Ave Park,1.082,3121,Richmond
Lower Yarra River Land,3.423,3121,Burnley
Lower Yarra River Land,3.423,3121,Cremorne
Lower Yarra River Land,3.423,3121,Richmond
Lower Yarra River Land,3.423,3121,Burnley
Lower Yarra River Land,3.423,3121,Cremorne
Lower Yarra River Land,3.423,3121,Richmond
Herring Island,3.184,3121,Burnley
Herring Island,3.184,3121,Cremorne
Herring Island,3.184,3121,Richmond
Mordialloc Pier,12.868,3195,Aspendale
Mordialloc Pier,12.868,3195,Aspendale Gardens
Mordialloc Pier,12.868,3195,Braeside
Mordialloc Pier,12.868,3195,Mordialloc
Mordialloc Pier,12.868,3195,Parkdale
Long Gully Bushland Reserve,8.463,3759,Panton Hill
Panton Hill G144 Bushland Reserve,0.805,3759,Panton Hill
Boomers Nature Conservation Reserve,27.814,3759,Panton Hill
Panton Hill G145 Bushland Reserve,2.235,3759,Panton Hill
Panton Hill G145 Bushland Reserve,2.235,3759,Panton Hill
Warrandyte - Kinglake Nature Conservation Reserve,648.023,3763,Kinglake
Warrandyte - Kinglake Nature Conservation Reserve,648.023,3763,Kinglake
Ricketts Point Marine Sanctuary,120.671,3193,Beaumaris
Ricketts Point Marine Sanctuary,120.671,3193,Black Rock
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave Heights
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave South
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Tecoma
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave Heights
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave South
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Tecoma
Selby G190 Bushland Reserve,20.731,3160,Belgrave
Selby G190 Bushland Reserve,20.731,3160,Belgrave Heights
Selby G190 Bushland Reserve,20.731,3160,Belgrave South
Selby G190 Bushland Reserve,20.731,3160,Tecoma
Selby G190 Bushland Reserve,20.731,3160,Belgrave
Selby G190 Bushland Reserve,20.731,3160,Belgrave Heights
Selby G190 Bushland Reserve,20.731,3160,Belgrave South
Selby G190 Bushland Reserve,20.731,3160,Tecoma
Selby G190 Bushland Reserve,20.731,3160,Belgrave
Selby G190 Bushland Reserve,20.731,3160,Belgrave Heights
Selby G190 Bushland Reserve,20.731,3160,Belgrave South
Selby G190 Bushland Reserve,20.731,3160,Tecoma
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave Heights
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Belgrave South
Puffing Billy Historic & Cultural Features Res.,88.696,3160,Tecoma
Belgrave G186 Bushland Reserve,0.695,3160,Belgrave
Belgrave G186 Bushland Reserve,0.695,3160,Belgrave Heights
Belgrave G186 Bushland Reserve,0.695,3160,Belgrave South
Belgrave G186 Bushland Reserve,0.695,3160,Tecoma
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Long Pockitt Bushland Reserve,0.708,3160,Belgrave
Long Pockitt Bushland Reserve,0.708,3160,Belgrave Heights
Long Pockitt Bushland Reserve,0.708,3160,Belgrave South
Long Pockitt Bushland Reserve,0.708,3160,Tecoma
Long Pockitt Bushland Reserve,0.708,3160,Belgrave
Long Pockitt Bushland Reserve,0.708,3160,Belgrave Heights
Long Pockitt Bushland Reserve,0.708,3160,Belgrave South
Long Pockitt Bushland Reserve,0.708,3160,Tecoma
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
"Monbulk Creek, Belgrave Heights Streamside Reserve",2.858,3160,Belgrave
"Monbulk Creek, Belgrave Heights Streamside Reserve",2.858,3160,Belgrave Heights
"Monbulk Creek, Belgrave Heights Streamside Reserve",2.858,3160,Belgrave South
"Monbulk Creek, Belgrave Heights Streamside Reserve",2.858,3160,Tecoma
Selby G190 Bushland Reserve,20.731,3160,Belgrave
Selby G190 Bushland Reserve,20.731,3160,Belgrave Heights
Selby G190 Bushland Reserve,20.731,3160,Belgrave South
Selby G190 Bushland Reserve,20.731,3160,Tecoma
Selby G190 Bushland Reserve,20.731,3160,Belgrave
Selby G190 Bushland Reserve,20.731,3160,Belgrave Heights
Selby G190 Bushland Reserve,20.731,3160,Belgrave South
Selby G190 Bushland Reserve,20.731,3160,Tecoma
Dandenong Ranges National Park,3533.337,3786,Ferny Creek
South Base Stone Historic Reserve,0.076,3030,Cocoroc
South Base Stone Historic Reserve,0.076,3030,Point Cook
Werribee Township Regional Park,176.913,3029,Hoppers Crossing
Werribee Township Regional Park,176.913,3029,Tarneit
Werribee Township Regional Park,176.913,3029,Truganina
Werribee Township Regional Park,176.913,3029,Hoppers Crossing
Werribee Township Regional Park,176.913,3029,Tarneit
Werribee Township Regional Park,176.913,3029,Truganina
Galgi Gnarrk (Craigieburn Grassland Nature Conservation Reserve),343.955,3064,Craigieburn
Galgi Gnarrk (Craigieburn Grassland Nature Conservation Reserve),343.955,3064,Donnybrook
Galgi Gnarrk (Craigieburn Grassland Nature Conservation Reserve),343.955,3064,Kalkallo
Galgi Gnarrk (Craigieburn Grassland Nature Conservation Reserve),343.955,3064,Mickleham
Galgi Gnarrk (Craigieburn Grassland Nature Conservation Reserve),343.955,3064,Roxburgh Park
Davy Lane Reserve,4.136,3131,Forest Hill
Davy Lane Reserve,4.136,3131,Nunawading
Healesville Freeway Reserve,23.318,3131,Forest Hill
Healesville Freeway Reserve,23.318,3131,Nunawading
Cobbledicks Streamside Reserve,24.848,3024,Fieldstone
Cobbledicks Streamside Reserve,24.848,3024,Mambourin
Cobbledicks Streamside Reserve,24.848,3024,Manor Lakes
Cobbledicks Streamside Reserve,24.848,3024,Mount Cottrell
Werribee Township Regional Park,176.913,3024,Fieldstone
Werribee Township Regional Park,176.913,3024,Mambourin
Werribee Township Regional Park,176.913,3024,Manor Lakes
Werribee Township Regional Park,176.913,3024,Mount Cottrell
Werribee Township Regional Park,176.913,3024,Fieldstone
Werribee Township Regional Park,176.913,3024,Mambourin
Werribee Township Regional Park,176.913,3024,Manor Lakes
Werribee Township Regional Park,176.913,3024,Mount Cottrell
Werribee Township Regional Park,176.913,3024,Fieldstone
Werribee Township Regional Park,176.913,3024,Mambourin
Werribee Township Regional Park,176.913,3024,Manor Lakes
Werribee Township Regional Park,176.913,3024,Mount Cottrell
Mount Ridley Nature Conservation Reserve,132.566,3064,Craigieburn
Mount Ridley Nature Conservation Reserve,132.566,3064,Donnybrook
Mount Ridley Nature Conservation Reserve,132.566,3064,Kalkallo
Mount Ridley Nature Conservation Reserve,132.566,3064,Mickleham
Mount Ridley Nature Conservation Reserve,132.566,3064,Roxburgh Park
Melbourne Strategic Assessment Reserve,1290.216,3064,Craigieburn
Melbourne Strategic Assessment Reserve,1290.216,3064,Donnybrook
Melbourne Strategic Assessment Reserve,1290.216,3064,Kalkallo
Melbourne Strategic Assessment Reserve,1290.216,3064,Mickleham
Melbourne Strategic Assessment Reserve,1290.216,3064,Roxburgh Park
Eryngium Nature Reserve,4.929,3064,Craigieburn
Eryngium Nature Reserve,4.929,3064,Donnybrook
Eryngium Nature Reserve,4.929,3064,Kalkallo
Eryngium Nature Reserve,4.929,3064,Mickleham
Eryngium Nature Reserve,4.929,3064,Roxburgh Park
Lower Maribyrnong Parklands,124.384,3011,Footscray
Lower Maribyrnong Parklands,124.384,3011,Seddon
"Pipemakers, Burndap And Footscay Park Parklands (Com)",44.096,3011,Footscray
"Pipemakers, Burndap And Footscay Park Parklands (Com)",44.096,3011,Seddon
Clyde Regional Park,99.166,3978,Cardinia
Clyde Regional Park,99.166,3978,Clyde
Clyde Regional Park,99.166,3978,Clyde North
Clyde Regional Park,99.166,3978,Cardinia
Clyde Regional Park,99.166,3978,Clyde
Clyde Regional Park,99.166,3978,Clyde North
Clyde Regional Park,99.166,3978,Cardinia
Clyde Regional Park,99.166,3978,Clyde
Clyde Regional Park,99.166,3978,Clyde North
Clyde Regional Park,99.166,3978,Cardinia
Clyde Regional Park,99.166,3978,Clyde
Clyde Regional Park,99.166,3978,Clyde North
Melbourne Strategic Assessment Reserve,1290.216,3978,Cardinia
Melbourne Strategic Assessment Reserve,1290.216,3978,Clyde
Melbourne Strategic Assessment Reserve,1290.216,3978,Clyde North
Arthurs Seat State Park,566.061,3938,McCrae
Port Phillip Bay Coastal Reserve (Com),600.076,3938,McCrae
Rosebud Recreation And Bushland Reserve,64.665,3938,McCrae
Karkarook Park,37.979,3202,Heatherton
Karkarook Park (Water Authority Land),4.632,3202,Heatherton
Darebin Creek Land,0.489,3078,Alphington
Darebin Creek Land,0.489,3078,Fairfield
Darebin Creek Land,0.489,3078,Alphington
Darebin Creek Land,0.489,3078,Fairfield
Healesville Gorge Bushland Reserve,6.906,3770,Coldstream
Healesville Gorge Bushland Reserve,6.906,3770,Gruyere
Everard Park Streamside Reserve,9.239,3777,Badger Creek
Everard Park Streamside Reserve,9.239,3777,Castella
Everard Park Streamside Reserve,9.239,3777,Chum Creek
Everard Park Streamside Reserve,9.239,3777,Healesville
Everard Park Streamside Reserve,9.239,3777,Mount Toolebewong
Everard Park Streamside Reserve,9.239,3777,Toolangi
Healesville Gorge Bushland Reserve,6.906,3777,Badger Creek
Healesville Gorge Bushland Reserve,6.906,3777,Castella
Healesville Gorge Bushland Reserve,6.906,3777,Chum Creek
Healesville Gorge Bushland Reserve,6.906,3777,Healesville
Healesville Gorge Bushland Reserve,6.906,3777,Mount Toolebewong
Healesville Gorge Bushland Reserve,6.906,3777,Toolangi
Healesville Gorge Bushland Reserve,6.906,3777,Badger Creek
Healesville Gorge Bushland Reserve,6.906,3777,Castella
Healesville Gorge Bushland Reserve,6.906,3777,Chum Creek
Healesville Gorge Bushland Reserve,6.906,3777,Healesville
Healesville Gorge Bushland Reserve,6.906,3777,Mount Toolebewong
Healesville Gorge Bushland Reserve,6.906,3777,Toolangi
Healesville G157 Bushland Reserve,1.208,3777,Badger Creek
Healesville G157 Bushland Reserve,1.208,3777,Castella
Healesville G157 Bushland Reserve,1.208,3777,Chum Creek
Healesville G157 Bushland Reserve,1.208,3777,Healesville
Healesville G157 Bushland Reserve,1.208,3777,Mount Toolebewong
Healesville G157 Bushland Reserve,1.208,3777,Toolangi
Healesville G154 Bushland Reserve,0.407,3777,Badger Creek
Healesville G154 Bushland Reserve,0.407,3777,Castella
Healesville G154 Bushland Reserve,0.407,3777,Chum Creek
Healesville G154 Bushland Reserve,0.407,3777,Healesville
Healesville G154 Bushland Reserve,0.407,3777,Mount Toolebewong
Healesville G154 Bushland Reserve,0.407,3777,Toolangi
Healesville Court House Historic & Cultural Features Res.,0.13,3777,Badger Creek
Healesville Court House Historic & Cultural Features Res.,0.13,3777,Castella
Healesville Court House Historic & Cultural Features Res.,0.13,3777,Chum Creek
Healesville Court House Historic & Cultural Features Res.,0.13,3777,Healesville
Healesville Court House Historic & Cultural Features Res.,0.13,3777,Mount Toolebewong
Healesville Court House Historic & Cultural Features Res.,0.13,3777,Toolangi
Yarra Ranges National Park,77240.895,3777,Badger Creek
Yarra Ranges National Park,77240.895,3777,Castella
Yarra Ranges National Park,77240.895,3777,Chum Creek
Yarra Ranges National Park,77240.895,3777,Healesville
Yarra Ranges National Park,77240.895,3777,Mount Toolebewong
Yarra Ranges National Park,77240.895,3777,Toolangi
Everard Park Streamside Reserve,9.239,3777,Badger Creek
Everard Park Streamside Reserve,9.239,3777,Castella
Everard Park Streamside Reserve,9.239,3777,Chum Creek
Everard Park Streamside Reserve,9.239,3777,Healesville
Everard Park Streamside Reserve,9.239,3777,Mount Toolebewong
Everard Park Streamside Reserve,9.239,3777,Toolangi
Healesville G156 Bushland Reserve,1.705,3777,Badger Creek
Healesville G156 Bushland Reserve,1.705,3777,Castella
Healesville G156 Bushland Reserve,1.705,3777,Chum Creek
Healesville G156 Bushland Reserve,1.705,3777,Healesville
Healesville G156 Bushland Reserve,1.705,3777,Mount Toolebewong
Healesville G156 Bushland Reserve,1.705,3777,Toolangi
Watts River Streamside Reserve,0.657,3777,Badger Creek
Watts River Streamside Reserve,0.657,3777,Castella
Watts River Streamside Reserve,0.657,3777,Chum Creek
Watts River Streamside Reserve,0.657,3777,Healesville
Watts River Streamside Reserve,0.657,3777,Mount Toolebewong
Watts River Streamside Reserve,0.657,3777,Toolangi
Maroondah Reservoir Park,34.465,3777,Badger Creek
Maroondah Reservoir Park,34.465,3777,Castella
Maroondah Reservoir Park,34.465,3777,Chum Creek
Maroondah Reservoir Park,34.465,3777,Healesville
Maroondah Reservoir Park,34.465,3777,Mount Toolebewong
Maroondah Reservoir Park,34.465,3777,Toolangi
Maroondah Aqueduct Tunnel Bushland Reserve,13.521,3777,Badger Creek
Maroondah Aqueduct Tunnel Bushland Reserve,13.521,3777,Castella
Maroondah Aqueduct Tunnel Bushland Reserve,13.521,3777,Chum Creek
Maroondah Aqueduct Tunnel Bushland Reserve,13.521,3777,Healesville
Maroondah Aqueduct Tunnel Bushland Reserve,13.521,3777,Mount Toolebewong
Maroondah Aqueduct Tunnel Bushland Reserve,13.521,3777,Toolangi
Watts River Streamside Reserve,0.657,3777,Badger Creek
Watts River Streamside Reserve,0.657,3777,Castella
Watts River Streamside Reserve,0.657,3777,Chum Creek
Watts River Streamside Reserve,0.657,3777,Healesville
Watts River Streamside Reserve,0.657,3777,Mount Toolebewong
Watts River Streamside Reserve,0.657,3777,Toolangi
Mordialloc Pier,12.868,3195,Aspendale
Mordialloc Pier,12.868,3195,Aspendale Gardens
Mordialloc Pier,12.868,3195,Braeside
Mordialloc Pier,12.868,3195,Mordialloc
Mordialloc Pier,12.868,3195,Parkdale
Albert Park,218.494,3000,Melbourne
Princes Wharf,0.069,3000,Melbourne
Albert Park,218.494,3000,Melbourne
Albert Reserve,3.262,3000,Melbourne
Warrandyte - Kinglake Nature Conservation Reserve,648.023,3763,Kinglake
Warrandyte - Kinglake Nature Conservation Reserve,648.023,3763,Kinglake
Warrandyte - Kinglake Nature Conservation Reserve,648.023,3763,Kinglake
Warrandyte - Kinglake Nature Conservation Reserve,648.023,3763,Kinglake
Warrandyte State Park,687.622,3097,Bend of Islands
Warrandyte State Park,687.622,3097,Kangaroo Ground
Kangaroo Ground South Bushland Reserve,0.651,3097,Bend of Islands
Kangaroo Ground South Bushland Reserve,0.651,3097,Kangaroo Ground
Neil Douglas Natural Features Reserve,9.508,3097,Bend of Islands
